model,split,system,src_stage,tgt_stage,n_pairs,pair_latent_mse,centroid_latent_mse,rbf_mmd
identity,heldout,erythroid,14,15,350,0.14350831508636475,0.008465166203677654,0.014763951301574707
identity,heldout,erythroid,17,18,350,0.06067460775375366,0.0025143714156001806,0.008741259574890137
identity,heldout,mesoderm_muscle,14,15,350,0.18675118684768677,0.0032629522029310465,0.01620948314666748
identity,heldout,mesoderm_muscle,17,18,350,0.37600064277648926,0.007943517528474331,0.014533758163452148
identity,heldout,neural,14,15,350,0.1637350618839264,0.0032128223683685064,0.014009475708007812
identity,heldout,neural,17,18,350,0.37879887223243713,0.0044020190834999084,0.008039593696594238
mean_shift,heldout,erythroid,14,15,350,0.1468058079481125,0.011762633919715881,0.023992180824279785
mean_shift,heldout,erythroid,17,18,350,0.06508948653936386,0.006929246708750725,0.01667928695678711
mean_shift,heldout,mesoderm_muscle,14,15,350,0.1876661628484726,0.004177910275757313,0.020168066024780273
mean_shift,heldout,mesoderm_muscle,17,18,350,0.37576353549957275,0.007706393953412771,0.016598105430603027
mean_shift,heldout,neural,14,15,350,0.16282597184181213,0.0023037272039800882,0.01245725154876709
mean_shift,heldout,neural,17,18,350,0.3797624409198761,0.005365533288568258,0.006932377815246582
ridge,heldout,erythroid,14,15,350,0.08724571019411087,0.002058428945019841,0.01651477813720703
ridge,heldout,erythroid,17,18,350,0.04997897520661354,0.003569371998310089,0.026751995086669922
ridge,heldout,mesoderm_muscle,14,15,350,0.11866980791091919,0.0016676486702635884,0.014482498168945312
ridge,heldout,mesoderm_muscle,17,18,350,0.21898919343948364,0.0038590291514992714,0.011079907417297363
ridge,heldout,neural,14,15,350,0.09073004871606827,0.0017012380994856358,0.014250755310058594
ridge,heldout,neural,17,18,350,0.26977917551994324,0.002225912408903241,0.00876164436340332
context_residual_mlp,heldout,erythroid,14,15,350,0.09023473411798477,0.0017169195925816894,0.004118204116821289
context_residual_mlp,heldout,erythroid,17,18,350,0.04502663388848305,0.0018748342990875244,0.005917072296142578
context_residual_mlp,heldout,mesoderm_muscle,14,15,350,0.11083290725946426,0.0014531398192048073,0.003875255584716797
context_residual_mlp,heldout,mesoderm_muscle,17,18,350,0.22602234780788422,0.0024137848522514105,0.002730131149291992
context_residual_mlp,heldout,neural,14,15,350,0.10047420859336853,0.0010023912182077765,0.004980802536010742
context_residual_mlp,heldout,neural,17,18,350,0.2994195520877838,0.0013642855919897556,0.004316449165344238
