dataset_id,time_index,time_numeric,n_cells,local_velocity_alignment_A,lineage_separation_S,fate_entropy_H,branch_imbalance_B,local_density_mean,composition_change_next
E2_GSE212050_gastruloid_native_atlas,0,3.0,368,0.6111115077073795,4.3443260627227245,0.7959049344062805,0.4429347826086957,0.29062910905984535,0.27595844773899814
E2_GSE212050_gastruloid_native_atlas,1,3.5,233,0.5439415318443437,5.260522811290862,0.8150843381881714,0.23605150214592274,0.21694637051004503,0.4263215369046815
E2_GSE212050_gastruloid_native_atlas,2,4.0,389,0.5012566497442343,5.05158970907921,0.7745593786239624,0.10282776349614396,0.2412921107395915,0.22869022069253211
E2_GSE212050_gastruloid_native_atlas,3,4.5,603,0.5740441916913747,4.219692013458851,0.8532255291938782,0.07628524046434494,0.2646380176156767,0.05661558932866709
E2_GSE212050_gastruloid_native_atlas,4,5.0,807,0.0,2.9750724340672376,0.0,0.06815365551425032,0.5189513861234154,
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,0,6.5,19,0.5701385854854086,2.9637554399388684,0.8493244647979736,0.6842105263157895,0.21713672055157388,0.5103088964431386
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,1,7.0,157,0.5213730635850521,6.100507334243374,0.6742256283760071,0.12738853503184713,0.2674886373825203,0.1424977742343387
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,2,7.25,134,0.4723994142418024,5.081817805387271,0.6542233228683472,0.09701492537313433,0.25362702037821233,0.3238960583381592
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,3,7.5,370,0.47943158263747865,4.60323876764094,0.7237805128097534,0.05675675675675676,0.291813269726194,0.11099436558877364
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,4,7.75,424,0.485388416504169,4.307734794107612,0.678351640701294,0.05660377358490566,0.3062729429470614,0.056537445140491215
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,5,8.0,355,0.5264563181761677,4.191311028830447,0.7789062261581421,0.061971830985915494,0.32592456539892467,0.14503890077286818
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,6,8.25,454,0.4579963904201118,5.19878532472859,0.7535675764083862,0.07048458149779736,0.36280245563584634,0.08671461245851375
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,7,8.5,487,0.0,4.935565626635815,0.0,0.16837782340862423,0.3675968383665682,
