dataset,neighbor_rule,k,graph_distance,affected_cells,response_attenuation
internal,topological,2,0,20,1.0
internal,topological,2,1,40,0.55
internal,topological,2,2,48,0.30250000000000005
internal,topological,2,3,54,0.16637500000000005
internal,topological,2,4,61,0.09150625000000004
internal,topological,2,5,62,0.050328437500000024
E1,topological,2,0,20,1.0
E1,topological,2,1,27,0.55
E1,topological,2,2,25,0.30250000000000005
E1,topological,2,3,23,0.16637500000000005
E1,topological,2,4,25,0.09150625000000004
E1,topological,2,5,22,0.050328437500000024
L2,topological,2,0,20,1.0
L2,topological,2,1,23,0.55
L2,topological,2,2,27,0.30250000000000005
L2,topological,2,3,32,0.16637500000000005
L2,topological,2,4,31,0.09150625000000004
L2,topological,2,5,34,0.050328437500000024
E2,topological,2,0,20,1.0
E2,topological,2,1,36,0.55
E2,topological,2,2,25,0.30250000000000005
E2,topological,2,3,15,0.16637500000000005
E2,topological,2,4,11,0.09150625000000004
E2,topological,2,5,7,0.050328437500000024
