seed,step,time,local_velocity_alignment_A,branch_cohesion_C,lineage_separation_S,fate_entropy_H,branch_imbalance_B,local_density_mean,local_density_var,n_agents
7,0,14.25,0.5828006664911906,0.9000533434973828,17.354738726236942,0.1449895680038748,0.0,0.3309445233968714,0.11672960076250931,900.0
7,1,14.5,0.6279479662577311,0.8979571013165523,17.356886215123584,0.150194099357006,0.0349099099099099,0.3416613710342742,0.11885214530961946,888.0
7,2,14.75,0.6713759501775106,0.8954572120058261,17.39004933091333,0.1519552478800732,0.0416197975253093,0.33809817066800635,0.11278625431213411,889.0
7,3,15.0,0.7093977928161621,0.890804777784948,17.257563424548,0.1600202066209926,0.0426966292134831,0.3381076913014782,0.10883152112361145,890.0
17,0,14.25,0.5814309120178223,0.9003016187855816,17.38347384005787,0.1442118558196352,0.0166666666666666,0.3278601367469131,0.1183978221197856,900.0
17,1,14.5,0.6215827465057373,0.8983722257078789,17.20803744376454,0.1503069471639656,0.0056561085972851,0.3387267599292789,0.11916058146354076,884.0
17,2,14.75,0.6671285231908163,0.8937532976716597,17.091489902728465,0.1592181365491129,0.0123456790123456,0.3473761790915318,0.12090196994178724,891.0
17,3,15.0,0.7068879206975301,0.8855287826440001,16.928406465229955,0.1633171351967492,0.0173812282734646,0.35183668257646167,0.1187044967197806,863.0
23,0,14.25,0.5730857650438944,0.9010405907451552,17.27945550070031,0.1469101367146256,0.0088888888888888,0.3349597890618296,0.1199172617168179,900.0
23,1,14.5,0.613723874092102,0.9012596268327453,17.28466960386341,0.1500114718373094,0.0388127853881278,0.3450117987333783,0.12590738379292318,876.0
23,2,14.75,0.6543503204981486,0.8963163619759013,17.223519848418462,0.1544955334299933,0.0507497116493656,0.34967246064343166,0.12406607669562504,867.0
23,3,15.0,0.6964426835378011,0.890031935529879,17.177094475645823,0.1564542914487984,0.0486358244365361,0.34456757646774644,0.11490234901720964,843.0
42,0,14.25,0.5785818894704183,0.903071330410386,17.335505980778947,0.1454558958135815,0.01,0.33541388519136267,0.1177731294970717,900.0
42,1,14.5,0.6149715781211853,0.8958537683971932,17.24447856711812,0.1526744873400515,0.0254041570438799,0.3400146880594412,0.11565849398424106,866.0
42,2,14.75,0.6557214458783468,0.8938777790743334,17.150041916720184,0.1551012797827181,0.031578947368421,0.34854853127765767,0.11490740948010593,855.0
42,3,15.0,0.6988662282625834,0.8902154297683796,17.098161093206958,0.1629896396457637,0.0200235571260306,0.34973753715302874,0.1151279200620781,849.0
99,0,14.25,0.5826350649197897,0.9013662727407318,17.3488725235906,0.1461829763545159,0.0077777777777777,0.3288704627818518,0.1198666945336303,900.0
99,1,14.5,0.625627319018046,0.8983165604247422,17.40457695875505,0.1403126781261112,0.0269360269360269,0.33637820847822897,0.11688025974718907,891.0
99,2,14.75,0.6706128517786661,0.8934128313821107,17.359940210711965,0.1458111441958439,0.031973539140022,0.3375452450287166,0.10936128383592231,907.0
99,3,15.0,0.7094024221102396,0.8889189399998273,17.349247946696888,0.1474543782503832,0.0444964871194379,0.35352592062077187,0.11236488775410326,854.0
